G100000-5-1.graph: 1 components, Alt1: 1.174044323000004 seconds, Alt2: 1.0237165510000068 seconds
G100000-5-2.graph: 1 components, Alt1: 1.1839653709999993 seconds, Alt2: 1.0477848060000028 seconds
G100000-5-3.graph: 1 components, Alt1: 1.1567461150000042 seconds, Alt2: 1.0123861269999992 seconds
G100000-5-4.graph: 1 components, Alt1: 1.175912396000001 seconds, Alt2: 1.019015987000003 seconds
G100000-5-5.graph: 1 components, Alt1: 1.149535966000002 seconds, Alt2: 1.0057095169999997 seconds
G100000-5-6.graph: 1 components, Alt1: 1.040873480000002 seconds, Alt2: 1.0035936659999862 seconds
G100000-5-7.graph: 1 components, Alt1: 1.1526807649999995 seconds, Alt2: 1.016294545000008 seconds
G100000-5-8.graph: 1 components, Alt1: 1.157351693999999 seconds, Alt2: 1.0062852359999965 seconds
G100000-5-9.graph: 1 components, Alt1: 1.1660167029999968 seconds, Alt2: 1.0238322929999981 seconds
G100000-5-10.graph: 1 components, Alt1: 1.1885163909999932 seconds, Alt2: 1.1539570969999886 seconds
G100000-10-1.graph: 1 components, Alt1: 2.2615823320000032 seconds, Alt2: 2.1869509659999977 seconds
G100000-10-2.graph: 1 components, Alt1: 2.0255548389999944 seconds, Alt2: 2.1112595600000077 seconds
G100000-10-3.graph: 1 components, Alt1: 2.1947916609999822 seconds, Alt2: 2.2050220689999946 seconds
G100000-10-4.graph: 1 components, Alt1: 2.2253207809999935 seconds, Alt2: 2.185580598999991 seconds
G100000-10-5.graph: 1 components, Alt1: 2.1929872069999874 seconds, Alt2: 2.13081577600002 seconds
G100000-10-6.graph: 1 components, Alt1: 2.0692019219999906 seconds, Alt2: 2.1653003979999994 seconds
G100000-10-7.graph: 1 components, Alt1: 2.197325280000001 seconds, Alt2: 2.1392036919999953 seconds
G100000-10-8.graph: 1 components, Alt1: 2.2546540950000065 seconds, Alt2: 2.1558316179999792 seconds
G100000-10-9.graph: 1 components, Alt1: 2.2064637310000137 seconds, Alt2: 2.1693300229999863 seconds
G100000-10-10.graph: 1 components, Alt1: 2.8674493520000226 seconds, Alt2: 2.5985187750000023 seconds
Total time for the professor's method: 88.01638575499997 seconds
Total time for our alt1 method: 44.259246085999976 seconds
Total time for our alt2 method: 42.54952995899997 seconds
